ID_CLIENTE,ANTIGUEDAD_MESES,TIPO_TARJETA,LINEA_CREDITO,RNG_LINEA,DEUDA_TARJETA,SEGMENTO_BANCO,AMBITO,ZONA,EDAD,SEXO,ECIVIL,Total_facturacion,Num_compras
C0000001,R4. [24-MAS>,CLASICA,30000,30000,0,SEGMENTO BRONCE,L,CALLAO,65,M,CASADO,478.8,1
C0000002,R4. [24-MAS>,CLASICA,21000,22000,0,SEGMENTO ORO,L,MODERNA,67,F,SOLTERO,1374.15,3
C0000004,R4. [24-MAS>,CLASICA,31500,32000,115.16,SEGMENTO ORO,L,MODERNA,93,M,CASADO,1016.52,8
C0000006,R4. [24-MAS>,CLASICA,10800,12000,1805.19,SEGMENTO PLATA,L,MODERNA,,M,CASADO,2093,16
C0000007,R4. [24-MAS>,CLASICA,18000,18000,17918.6,SEGMENTO PLATA,L,MODERNA,,M,CASADO,3176.38,13
C0000008,R4. [24-MAS>,CLASICA,15750,16000,7371.5,SEGMENTO PLATA,L,MODERNA,,M,CASADO,4388.14,3
C0000009,R4. [24-MAS>,CLASICA,3600,4000,145,SEGMENTO ORO,L,MODERNA,,F,SOLTERO,1642.49,19
C0000012,R4. [24-MAS>,CLASICA,24000,24000,417.08,SEGMENTO PLATA,L,MODERNA,57,M,CASADO,1162.09,15
C0000013,R4. [24-MAS>,CLASICA,14400,16000,3820.13,SEGMENTO ORO,L,MODERNA,65,M,SOLTERO,393.2,2
C0000014,R4. [24-MAS>,CLASICA,16800,18000,0,SEGMENTO BRONCE,L,MODERNA,51,M,CASADO,1483.28,7
C0000016,R4. [24-MAS>,CLASICA,25900,26000,3515.76,SEGMENTO PLATA,L,MODERNA,,M,CASADO,25,1
C0000017,R4. [24-MAS>,CLASICA,7500,8000,0,SEGMENTO PLATA,L,CENTRO,56,M,SOLTERO,671.92,6
C0000018,R4. [24-MAS>,CLASICA,10800,12000,1353.94,SEGMENTO PLATA,L,MODERNA,,M,CASADO,1706.8,4
C0000020,R4. [24-MAS>,CLASICA,28800,30000,20984.26,SEGMENTO PLATA,L,MODERNA,57,F,DIVORCIADO,3976.13,22
C0000021,R4. [24-MAS>,CLASICA,30000,30000,365,SEGMENTO BRONCE,L,MODERNA,66,M,CASADO,516,2
C0000022,R4. [24-MAS>,CLASICA,17280,18000,429.61,SEGMENTO PLATA,L,MODERNA,76,M,SOLTERO,156,6
C0000023,R4. [24-MAS>,CLASICA,19440,20000,1061.83,SEGMENTO PLATA,L,MODERNA,,M,CASADO,3422.8,21
C0000025,R4. [24-MAS>,CLASICA,24000,24000,10321.31,SEGMENTO PLATA,L,SUR,63,M,CASADO,3367.6,24
C0000026,R4. [24-MAS>,CLASICA,14700,16000,2243.58,SEGMENTO ORO,P,PROVINCIA,57,M,CASADO,412.44,3
C0000027,R4. [24-MAS>,CLASICA,34550,36000,5410.19,SEGMENTO ORO,L,MODERNA,56,F,CASADO,4447.34,24
C0000028,R4. [24-MAS>,CLASICA,38800,40000,149.22,SEGMENTO ORO,L,NORTE,39,M,CASADO,11392.75,27
C0000029,R4. [24-MAS>,CLASICA,24000,24000,0.74,SEGMENTO ORO,L,MODERNA,45,M,SOLTERO,274.89,1
C0000031,R4. [24-MAS>,CLASICA,32400,34000,6367.81,SEGMENTO PLATA,L,MODERNA,51,M,CASADO,2381.67,5
C0000034,R4. [24-MAS>,CLASICA,10125,12000,487.85,SEGMENTO BRONCE,L,MODERNA,,M,CASADO,499,1
C0000035,R4. [24-MAS>,CLASICA,9900,10000,41.66,SEGMENTO ORO,L,MODERNA,,F,CASADO,291.58,9
C0000038,R4. [24-MAS>,CLASICA,5400,6000,802.91,SEGMENTO PLATA,L,MODERNA,,F,SOLTERO,924.73,1
C0000039,R4. [24-MAS>,CLASICA,18000,18000,6447.23,SEGMENTO PLATA,L,SUR,,M,SOLTERO,2018.76,12
C0000041,R4. [24-MAS>,CLASICA,10800,12000,3461.57,SEGMENTO PLATA,L,NORTE,49,M,CASADO,14458.5,7
C0000042,R4. [24-MAS>,CLASICA,18000,18000,0,SEGMENTO BRONCE,L,ESTE,44,F,SOLTERO,466.2,7
C0000043,R4. [24-MAS>,CLASICA,10000,10000,10,SEGMENTO PLATA,L,MODERNA,49,F,DIVORCIADO,6633.74,4
C0000044,R4. [24-MAS>,CLASICA,30000,30000,-0.06,SEGMENTO ORO,L,MODERNA,50,F,CASADO,2414.99,2
C0000047,R4. [24-MAS>,CLASICA,32400,34000,417.45,SEGMENTO ORO,L,CENTRO,,M,CASADO,2422.51,14
C0000050,R4. [24-MAS>,CLASICA,7400,8000,5802.47,SEGMENTO PLATA,L,MODERNA,40,F,SOLTERO,6863.15,5
C0000051,R4. [24-MAS>,CLASICA,6000,6000,0.25,SEGMENTO PLATA,L,MODERNA,49,F,SOLTERO,413,11
C0000052,R4. [24-MAS>,CLASICA,6555,8000,3044.49,SEGMENTO BRONCE,L,MODERNA,47,M,CASADO,9387.41,24
C0000054,R4. [24-MAS>,CLASICA,9000,10000,0,SEGMENTO ORO,L,CENTRO,47,F,CASADO,570,1
C0000056,R4. [24-MAS>,CLASICA,6000,6000,2833.67,SEGMENTO PLATA,L,CENTRO,53,M,CASADO,489.49,8
C0000057,R4. [24-MAS>,CLASICA,12000,12000,348.5,SEGMENTO ORO,P,PROVINCIA,42,M,CASADO,1776,10
C0000060,R4. [24-MAS>,CLASICA,6000,6000,5568.36,SEGMENTO ORO,L,SUR,54,F,SOLTERO,975.3,8
C0000061,R4. [24-MAS>,CLASICA,10800,12000,5149.34,SEGMENTO ORO,L,MODERNA,58,M,CASADO,1785.6,5
C0000062,R4. [24-MAS>,CLASICA,28800,30000,265,SEGMENTO ORO,L,NORTE,,M,CASADO,285,1
C0000063,R4. [24-MAS>,CLASICA,22500,24000,761.82,SEGMENTO PLATA,L,CENTRO,,M,SOLTERO,670.42,13
C0000065,R4. [24-MAS>,CLASICA,18600,20000,51.91,SEGMENTO PLATA,L,MODERNA,,M,CASADO,819.14,6
C0000066,R4. [24-MAS>,CLASICA,6300,8000,89,SEGMENTO PLATA,L,SUR,,M,CASADO,89,1
C0000067,R4. [24-MAS>,CLASICA,21600,22000,5262.83,SEGMENTO PLATA,L,MODERNA,,M,CASADO,3932.99,16
C0000068,R4. [24-MAS>,CLASICA,10200,12000,25.4,SEGMENTO PLATA,L,MODERNA,59,M,CASADO,156,6
C0000074,R4. [24-MAS>,ORO,30625,32000,0,SEGMENTO ORO,L,MODERNA,57,M,CASADO,3938.87,6
C0000075,R4. [24-MAS>,ORO,6000,6000,5560.73,SEGMENTO PLATA,L,MODERNA,56,M,CASADO,2661.69,3
C0000079,R4. [24-MAS>,ORO,20600,22000,0,SEGMENTO ORO,L,MODERNA,47,M,CASADO,8847.47,2
C0000083,R4. [24-MAS>,ORO,20000,20000,0,SEGMENTO ORO,L,MODERNA,76,M,CASADO,70.56,1
C0000086,R4. [24-MAS>,ORO,30000,30000,912.33,SEGMENTO ORO,L,MODERNA,75,M,CASADO,2283.13,11
C0000088,R4. [24-MAS>,ORO,9300,10000,0,SEGMENTO PLATA,L,MODERNA,,M,CASADO,450.96,1
C0000090,R4. [24-MAS>,ORO,22500,24000,1075.45,SEGMENTO ORO,L,CENTRO,46,M,SOLTERO,1729.97,22
C0000092,R4. [24-MAS>,CLASICA,9000,10000,113.64,SEGMENTO PLATA,L,NORTE,48,M,SOLTERO,714.8,6
C0000093,R4. [24-MAS>,CLASICA,10800,12000,0,SEGMENTO PLATA,L,ESTE,,F,SOLTERO,1348.03,1
C0000095,R4. [24-MAS>,CLASICA,30000,30000,225.06,SEGMENTO ORO,L,MODERNA,,F,SOLTERO,4364.34,17
C0000096,R4. [24-MAS>,CLASICA,9000,10000,70,SEGMENTO PLATA,L,MODERNA,,M,SOLTERO,209.1,3
C0000097,R4. [24-MAS>,ORO,18750,20000,8956.94,SEGMENTO ORO,L,MODERNA,,M,SOLTERO,2637.58,14
C0000099,R4. [24-MAS>,ORO,9375,10000,0,SEGMENTO PLATA,L,MODERNA,51,F,DIVORCIADO,144.21,1
C0000100,R4. [24-MAS>,ORO,28900,30000,548.9,SEGMENTO ORO,L,MODERNA,54,M,CASADO,1090.69,15
C0000101,R4. [24-MAS>,CLASICA,28000,28000,8249.64,SEGMENTO PLATA,L,MODERNA,65,M,CASADO,4252.67,22
C0000102,R4. [24-MAS>,CLASICA,4800,6000,2903.67,SEGMENTO PLATA,L,NORTE,51,M,SOLTERO,497.53,17
C0000103,R4. [24-MAS>,CLASICA,500,2000,13,SEGMENTO BRONCE,L,CENTRO,,M,CASADO,159.28,6
C0000104,R4. [24-MAS>,CLASICA,9000,10000,3042.23,SEGMENTO PLATA,L,CALLAO,53,F,CASADO,462.8,2
C0000105,R4. [24-MAS>,ORO,30000,30000,10386.06,SEGMENTO ORO,L,MODERNA,55,M,CASADO,1671.26,4
C0000107,R4. [24-MAS>,CLASICA,30000,30000,6.03,SEGMENTO ORO,L,CENTRO,,M,CASADO,1089,2
C0000108,R4. [24-MAS>,CLASICA,14000,14000,14124.33,SEGMENTO PLATA,L,MODERNA,,F,SOLTERO,6366.85,17
C0000109,R4. [24-MAS>,PLATINUM,30000,30000,7.99,SEGMENTO ORO,L,MODERNA,,F,SOLTERO,2223.24,10
C0000110,R4. [24-MAS>,ORO,18600,20000,437.38,SEGMENTO ORO,L,MODERNA,,M,CASADO,14718.55,19
C0000111,R4. [24-MAS>,ORO,9600,10000,7967.22,SEGMENTO ORO,L,CENTRO,56,F,CASADO,9677.51,14
C0000114,R4. [24-MAS>,PLATINUM,10000,10000,8692.92,SEGMENTO ORO,L,MODERNA,52,M,CASADO,165.45,2
