Country,Life_expentacy,GDP,HIV
Algeria,73.131,6406.816621,0.1
Angola,51.093,5519.183179,2
Argentina,75.901,15741.04577,0.5
Armenia,74.241,4748.928585,0.1
Australia,81.907,34642.38813,0.1
Austria,80.854,36871.07135,0.3
Azerbaijan,70.739,9387.389497,0.1
Bahamas,75.62,21470.8042,3.1
Bangladesh,68.944,1669.874271,0.06
Barbados,76.835,16173.65009,1.4
Belarus,70.349,13224.02729,0.3
Belgium,80.009,33047.96242,0.2
Belize,76.072,7255.005226,2.3
Benin,56.081,1457.215648,1.2
Bhutan,67.185,5640.904567,0.2
Bolivia,66.618,4171.368213,0.2
Botswana,53.183,13625.11538,24.8
Brazil,73.488,10373.40637,0.45
Bulgaria,73.371,11285.56666,0.1
Burkina_Faso,55.439,1343.485463,1.2
Burundi,50.411,484.1486441,3.3
Cambodia,63.125,1949.589584,0.5
Cameroon,51.61,2033.232876,5.3
Canada,81.012,35689.57119,0.2
Central_African_Rep.,48.398,694.7216694,4.7
Chad,49.553,1745.674492,3.4
Chile,79.12,14620.87251,0.4
China,73.456,8848.092267,0.1
Colombia,73.703,7767.635065,0.5
Comoros,61.061,1023.898606,0.1
Congo_Rep.,57.379,4110.534283,3.4
Costa_Rica,79.311,10427.73936,0.3
Cote_d'Ivoire,55.377,1397.877332,3.4
Croatia,76.64,13920.2729,0.06
Cuba,79.143,9565.88509,0.1
Czech_Rep.,77.685,22859.95475,0.06
Denmark,78.826,32868.96138,0.2
Djibouti,57.937,2241.510659,2.5
Dominican_Rep.,73.396,6838.858919,0.9
Ecuador,75.632,7681.539165,0.4
Egypt,73.235,6116.613731,0.06
El_Salvador,72.196,5644.163417,0.8
Equatorial_Guinea,51.088,15459.99331,5
Eritrea,61.597,591.4616877,0.8
Estonia,74.825,18016.32406,1.2
Fiji,69.245,4122.413982,0.1
Finland,79.977,31975.60544,0.1
France,81.539,30235.35994,0.4
Gabon,62.703,13905.66763,5.2
Gambia,58.491,798.5520528,2
Georgia,73.737,4659.383245,0.1
Germany,80.414,33734.80896,0.1
Ghana,64.228,1641.301117,1.8
Greece,79.915,23605.6187,0.1
Guatemala,71.172,5241.33997,0.8
Guinea,54.097,949.0182377,1.3
Guinea-Bissau,48.132,608.155706,2.5
Guyana,69.927,4082.566975,1.2
Haiti,62.095,1193.865472,1.9
Honduras,73.126,3517.317771,0.8
Hungary,74.414,17329.59545,0.06
Iceland,81.804,33948.1247,0.3
India,65.438,3162.610577,0.3
Indonesia,69.366,4179.346906,0.2
Iran,72.974,12474.99376,0.2
Ireland,80.557,34420.46598,0.2
Israel,81.618,26957.71866,0.2
Italy,81.855,26559.13559,0.3
Jamaica,73.127,6969.563611,1.7
Japan,83.394,30487.93851,0.06
Kazakhstan,67.017,11523.6711,0.1
Kenya,57.134,1496.46728,6.3
Korea_Rep.,80.642,26206.25048,0.06
Kyrgyzstan,67.714,2111.718703,0.3
Laos,67.484,2578.501477,0.2
Latvia,73.339,13854.82343,0.7
Lebanon,72.64,13488.89028,0.1
Lesotho,48.196,1874.847007,23.6
Liberia,56.786,425.3636988,1.5
Lithuania,72.231,16400.33254,0.1
Luxembourg,79.963,70061.72973,0.3
Madagascar,66.718,976.3200262,0.2
Malawi,54.21,865.5453157,11
Malaysia,74.221,13836.95592,0.5
Maldives,76.848,5818.923516,0.06
Mali,51.444,1116.709,1
Malta,79.634,22116.1479,0.1
Mauritania,58.582,1838.793541,0.7
Mauritius,73.373,12771.75529,1
Mexico,76.954,11684.30345,0.3
Moldova,69.317,2964.135109,0.4
Mongolia,68.498,3865.370879,0.06
Morocco,72.15,4409.379505,0.1
Mozambique,50.239,999.7113477,11.5
Myanmar,65.193,1590.148164,0.6
Namibia,62.465,5338.596969,13.1
Nepal,68.795,1306.706464,0.4
Netherlands,80.734,36895.83657,0.2
New_Zealand,80.654,24031.04992,0.1
Nicaragua,74.044,2887.962991,0.2
Niger,54.675,668.0272153,0.8
Nigeria,51.879,2396.619715,3.6
Norway,81.097,46882.0523,0.1
Oman,72.974,24334.00491,0.1
Pakistan,65.437,2640.2578,0.1
Panama,76.128,12502.25326,0.9
Papua_New_Guinea,62.791,2203.599744,0.9
Paraguay,72.477,4687.691766,0.3
Peru,73.99,8864.580289,0.4
Philippines,68.749,3441.423595,0.06
Poland,76.126,17928.33417,0.1
Portugal,79.499,19905.95479,0.6
Qatar,78.371,93818.23864,0.06
Romania,73.979,10964.41656,0.1
Russia,68.823,14737.6336,1
Rwanda,55.442,1123.549329,2.9
Senegal,59.318,1766.998991,0.9
Serbia,74.522,9719.433468,0.1
Sierra_Leone,47.794,924.4083304,1.6
Singapore,81.126,49683.2671,0.1
Slovak_Republic,75.446,20364.90799,0.06
Slovenia,79.341,24873.73192,0.06
Somalia,51.219,943.0354535,0.7
South_Africa,52.797,9482.090663,17.8
Spain,81.404,26766.86177,0.4
Sri_Lanka,74.941,4901.338429,0.06
Sudan,61.452,3181.925891,1.1
Suriname,70.563,8706.313971,1
Swaziland,48.718,4728.593817,25.9
Sweden,81.439,34395.31413,0.1
Switzerland,82.338,37942.46843,0.4
Tajikistan,67.529,1842.569444,0.2
Tanzania,58.199,1348.364979,5.6
Thailand,74.126,7982.61119,1.3
Togo,57.062,933.1801283,3.2
Trinidad_and_Tobago,70.124,17459.84975,1.5
Tunisia,74.515,7520.825528,0.06
Turkey,73.979,9148.331148,0.06
Uganda,54.116,1277.8056,6.5
Ukraine,68.494,6379.581124,1.1
United_Kingdom,80.17,31330.47724,0.2
United_States,78.531,41728.14089,0.6
Uruguay,77.005,12741.79202,0.5
Uzbekistan,68.287,2947.204002,0.1
Vietnam,75.181,2961.834605,0.4
Zambia,49.025,1476.934829,13.5
Zimbabwe,51.384,511.2584076,14.3
